timestamp,machine_id,operator_id,task_id,engine_hours,fuel_used_l,load_cycles,idling_time_min,seatbelt_status,proximity_alert,weather_condition,ground_condition,is_golden,scene
2024-09-06 00:27:00,EXC001,OP001,TSK001,386.1,109.5,11,11,Fastened,0,Rainy,Dry,False,
2024-09-21 04:11:00,EXC001,OP001,TSK002,387.0,108.0,7,8,Fastened,0,Sunny,Dry,False,
2024-09-09 23:41:00,EXC001,OP002,TSK004,387.7,107.2,8,14,Fastened,0,Sunny,Dry,False,
2024-09-08 00:31:00,EXC001,OP001,TSK002,388.1,110.5,11,19,Fastened,1,Sunny,Dry,False,
2024-08-27 02:19:00,EXC001,OP001,TSK002,388.7,107.2,2,55,Fastened,0,Sunny,Muddy,False,
2024-08-27 04:33:00,EXC001,OP001,TSK002,389.7,110.0,14,11,Fastened,0,Sunny,Dry,False,
2024-09-10 03:23:00,EXC001,OP001,TSK002,390.2,107.8,6,16,Fastened,1,Rainy,Wet,False,
2024-09-03 05:50:00,EXC001,OP001,TSK002,390.6,111.2,3,64,Fastened,0,Sunny,Muddy,False,
2024-09-10 02:32:00,EXC001,OP001,TSK002,391.3,108.6,14,12,Fastened,0,Sunny,Dry,False,
2024-08-26 03:28:00,EXC001,OP002,TSK004,392.1,108.2,11,7,Fastened,0,Sunny,Dry,False,
2024-09-03 00:53:00,EXC001,OP001,TSK001,392.6,108.1,4,46,Unfastened,0,Rainy,Wet,False,
2024-09-06 01:38:00,EXC001,OP002,TSK004,393.4,109.2,4,34,Fastened,0,Overcast,Muddy,False,
2024-08-26 04:51:00,EXC001,OP001,TSK001,394.5,112.0,15,17,Fastened,0,Sunny,Dry,False,
2024-09-07 02:42:00,EXC001,OP001,TSK001,395.6,109.7,5,26,Unfastened,0,Rainy,Wet,False,
2024-09-22 05:56:00,EXC001,OP001,TSK002,396.2,112.0,14,7,Fastened,0,Sunny,Dry,False,
2024-09-12 22:31:00,EXC001,OP002,TSK004,396.6,111.1,11,8,Unfastened,0,Sunny,Dry,False,
2024-09-01 23:26:00,EXC001,OP001,TSK001,397.0,112.9,1,52,Fastened,0,Sunny,Muddy,False,
2024-09-10 22:42:00,EXC001,OP001,TSK001,397.3,111.5,4,38,Fastened,0,Sunny,Wet,False,
2024-09-03 23:54:00,EXC001,OP001,TSK002,398.4,111.4,7,17,Fastened,0,Sunny,Dry,False,
2024-08-30 23:59:00,EXC001,OP002,TSK004,399.2,113.2,2,55,Fastened,0,Sunny,Muddy,False,
2024-09-05 03:36:00,EXC001,OP002,TSK004,399.7,110.9,8,12,Fastened,0,Sunny,Dry,False,
2024-08-31 23:12:00,EXC001,OP001,TSK001,400.2,113.7,11,16,Unfastened,0,Sunny,Dry,False,
2024-09-05 04:51:00,EXC001,OP001,TSK002,400.5,112.5,9,13,Unfastened,0,Sunny,Dry,False,
2024-09-02 23:37:00,EXC001,OP001,TSK001,401.0,111.3,7,42,Fastened,1,Sunny,Wet,False,
2024-09-04 01:04:00,EXC001,OP002,TSK004,401.4,114.1,10,22,Unfastened,0,Sunny,Dry,False,
2024-09-19 23:10:00,EXC001,OP002,TSK004,402.4,111.2,2,56,Fastened,0,Overcast,Muddy,False,
2024-09-07 03:30:00,EXC001,OP001,TSK001,402.8,112.7,14,8,Fastened,0,Overcast,Dry,False,
2024-09-10 01:47:00,EXC001,OP002,TSK004,403.4,114.7,13,7,Fastened,0,Sunny,Dry,False,
2024-08-26 23:32:00,EXC001,OP001,TSK001,404.1,113.7,8,35,Fastened,0,Sunny,Wet,False,
2024-09-14 04:16:00,EXC001,OP001,TSK001,405.1,111.8,6,42,Unfastened,0,Sunny,Wet,False,
2024-09-06 22:17:00,EXC001,OP001,TSK002,406.2,112.8,1,38,Fastened,0,Overcast,Muddy,False,
2024-09-02 01:57:00,EXC001,OP001,TSK002,407.0,115.0,7,4,Fastened,0,Rainy,Dry,False,
2024-08-26 23:29:00,EXC001,OP002,TSK004,407.9,113.9,2,61,Unfastened,1,Rainy,Muddy,False,
2024-08-31 04:20:00,EXC001,OP002,TSK004,408.5,113.0,4,54,Fastened,0,Sunny,Muddy,False,
2024-09-18 05:04:00,EXC001,OP001,TSK001,409.5,114.6,8,13,Fastened,0,Sunny,Dry,False,
2024-09-12 00:01:00,EXC001,OP001,TSK001,409.9,115.1,2,25,Fastened,0,Rainy,Muddy,False,
2024-09-03 02:00:00,EXC001,OP002,TSK004,410.5,116.6,2,33,Fastened,0,Sunny,Muddy,False,
2024-08-31 01:54:00,EXC001,OP002,TSK004,411.4,115.8,3,39,Fastened,1,Overcast,Muddy,False,
2024-09-04 05:20:00,EXC001,OP001,TSK001,412.5,116.1,15,9,Fastened,0,Sunny,Dry,False,
2024-08-27 06:00:00,EXC001,OP002,TSK004,412.8,116.8,3,39,Fastened,0,Sunny,Wet,False,
2024-08-24 22:53:00,EXC001,OP001,TSK001,413.6,116.8,4,40,Fastened,0,Rainy,Muddy,False,
2024-09-07 00:55:00,EXC001,OP001,TSK001,414.8,116.6,8,11,Fastened,0,Sunny,Wet,False,
2024-09-08 05:56:00,EXC001,OP001,TSK002,415.2,118.2,3,47,Fastened,1,Sunny,Muddy,False,
